# id:13--13-13-0 
0.29,0.25,1
0.71,-0.29,-1
0.34,-0.76,-1
-0.65,-0.81,-1
-0.83,0.51,-1
0.5,0.59,1
-0.68,0.42,1
-0.4,0.58,1
-0.53,0.65,1
0.09,-0.34,-1
-0.88,0.95,1
-0.08,0.66,1
0.67,-0.01,-1
-0.16,0.35,1
0.5,0.52,1
0.43,0.01,-1
0.91,0.34,-1
0.58,0.94,1
0.56,-0.6,-1
0.89,0.5,-1
0.19,0.63,1
0.75,-0.46,-1
0.02,-0.79,-1
-0.48,0.06,-1
-0.78,-0.44,-1
0.44,0.99,1
-0.77,0.9,1
-0.55,0.48,1
-0.76,0.03,-1
0.69,-0.09,-1
0.79,-0.9,-1
0.85,0.86,1
0.55,-0.13,-1
-0.76,0.4,-1
-0.72,0.63,1
0.85,0.07,-1
-0.59,0.3,1
-0.68,0.75,1
-0.84,1,1
-0.59,0.68,1
-0.84,0.47,-1
0.54,0.31,1
0.46,-0.14,-1
0.6,0.11,-1
-0.21,0.39,1
-0.46,0.23,1
-0.72,0.65,1
0.92,0.98,1
0.03,-0.87,-1
0.17,-0.45,-1
-0.78,-0.28,-1
0.39,-0.75,-1
-0.59,0.72,1
-0.7,0.31,-1
0.61,-0.9,-1
-0.48,-0.36,-1
-0.49,-0.08,-1
0.8,-0.16,-1
-0.17,0.88,1
0.87,0.04,-1
-0.43,0.27,1
-0.26,-0.34,-1
-0.77,0.07,-1
-0.42,0.38,1
-0.97,-0.01,-1
-0.12,0.51,1
-0.04,-0.98,-1
-0.32,0.83,1
-0.63,-0.35,-1
-0.8,-0.48,-1
-0.41,0.09,-1
0.7,0.84,1
0.05,-0.94,-1
-0.87,-0.35,-1
-0.48,-0.31,-1
0.02,0.57,1
-0.85,-0.47,-1
-0.79,0.21,-1
0.12,0.58,1
0.9,0.79,1
0.72,-0.63,-1
-0.2,-0.94,-1
-0.46,0.12,-1
0.37,0.25,1
0.57,0.78,1
-0.24,-0.2,-1
0.46,-0.05,-1
-0.82,0.17,-1
-0.27,-0.71,-1
0.94,-0.82,-1
0.66,0.9,1
-0.53,-0.31,-1
0.11,0.24,1
0.82,-0.4,-1
0.18,-0.83,-1
0.23,-0.06,-1
-0.16,-0.6,-1
-0.01,-0.42,-1
-0.66,0.32,-1
0.28,0.26,1
1,-0.08,-1
0.09,0.39,1
-0.76,-0.5,-1
-0.49,-0.68,-1
-0.97,0.5,-1
0.34,-0.28,-1
0.44,0.57,1
-0.51,-0.44,-1
-0.29,-0.09,-1
0.23,-0.81,-1
0.93,-0.82,-1
-0.48,0.28,-1
0.82,0.52,-1
-0.66,-0.98,-1
0.48,-0.94,-1
-0.21,0.41,1
0.04,-0.15,-1
0.7,0.34,-1
-0.07,-0.95,-1
0.49,0.28,-1
0.3,0.21,1
-0.97,0.74,-1
-0.85,0.55,-1
-0.22,0.89,1
0.74,0.37,-1
-0.82,-0.84,-1
0.35,0.21,1
-0.91,-0.1,-1
0.4,0.83,1
0.61,0.32,-1
-0.99,-0.39,-1
-0.39,-0.35,-1
-0.52,-0.19,-1
0.87,0.59,-1
0.28,0.33,1
-0.25,0.51,1
0.64,-0.14,-1
0.37,-0.05,-1
-0.56,-0.66,-1
0.58,0.96,1
0.99,0.98,-1
0.61,-0.42,-1
-0.04,0.07,1
0.86,-0.07,-1
-0.36,-0.8,-1
-0.2,-0.04,-1
